oid,name,surname,birthyear,birthplace,position,team,city,stadium,season,manager
759,Renganathan Sihai,Godo,1989,Baton,Midfield,The New Saints F.C.,Arlington,Parc des Princes,2014,Robbert Flach
760,Daisy Ryotaro,Felciano,1976,Milan,Midfield,Borussia Monchengladbach,Cardiff,St James  Park,2012,Jeremy Cantu
761,Seungwang Haym,Scanlon,1984,Munich,Midfield,Boavista F.C.,Naples,Veltins-Arena,2013,Srikanth Chimia
762,Ramakant Elgin,Schachter,1990,Sun,Midfield,Seattle Sounders,Dortmund,Stadio San Paolo,2013,Nabih Rios
763,Sahrah Kimon,Muluszynski,1991,Gainesville,Midfield,Valencia CF,London,Santiago Bernabeu Stadium,2011,Vagan Smallwood
764,Steinar Sathis,Brugnano,1987,Tokyo,Goalkeeper,S.C. Braga,Gelsenkirchen,Sporting Park,2011,Anupam Oxenboll
765,Yookun Apostol,Benn,1984,Los,Defender,Boavista F.C.,Naples,Veltins-Arena,2015,Duckyoung Padhye
766,Philip Sachio,Yoccoz,1975,Dayton,Forward,Clube de Regatas do Flamengo,Rio de Janeiro,Stadio Olimpico,2011,Xiaolei Ronchette
767,Hiroyuke Hagbal,Ro;dl,1992,Montgomery,Goalkeeper,Royal Antwerp F.C.,Salvador,BMO Field,2011,Rashi Papadourakis
768,Woei Dongmo,Ogawa,1988,Aguascalientes,Defender,Tianjin Teda F.C.,Cardiff,Estadio da Luz,2011,Ryouji Dare
769,Cherri Toshiaki,Musselman,1984,Valdosta,Midfield,Tianjin Teda F.C.,Cardiff,Estadio da Luz,2014,Ahsan Kliger
770,Surapol Yechezkel,Noltemeier,1984,Reno,Midfield,Valencia CF,Montevideo,Constant Vanden Stock Stadium,2011,Vagan Smallwood
771,Ruck Williams,Leenaerts,1995,Nice,Midfield,Grasshopper Club Zurich,Moscow,Gerhard Hanappi Stadium,2015,Olavi Gurd
772,Asis Sinisa,Hennebert,1986,Elko,Midfield,Juventus,Salvador,BMO Field,2010,Masum Kasprzak
773,Ernest Chiemi,Broch,1989,Birmingham,Midfield,FC Kaiserslautern,Munich,Stadio Olimpico,2012,Atsufumi Comparetto
774,Geraud Pat,Sherratt,1976,Wilkes,Midfield,Boavista F.C.,Naples,Veltins-Arena,2014,Torsten Fedou
775,Magne Chihping,Jungst,1990,Durban,Midfield,Juventus,Salvador,BMO Field,2010,Masum Kasprzak
776,Yoonjoon Eila,Yannakoudakis,1996,Shannon,Midfield,New York Red Bulls,Solna,Allianz Arena Olympic Stadium Munich,2011,Atsuyuki Jayaprakash
777,Alison Pierdaniele,Knauff,1992,Mobile,Defender,FC Spartak Moscow,Istanbul,Jan Breydel Stadium,2011,Yki Villano
778,Wendie Benson,Brunk,1996,Ouagadougou,Defender,Aalborg Boldspilklub,London,Anfield,2014,Rosangela Ketz
779,Bienvenido Hussein,Benaini,1992,Washington,Midfield,FC Bayern Munich,Seattle,San Siro Stadium,2015,Atsufumi Comparetto
780,Rahim Barton,Kawakami,1993,Billings,Defender,FK Partizan,Orlando,White Hart Lane,2013,Ryouji Dare
781,Ryoichi Ilan,Togni,1992,Vienna,Midfield,FC Spartak Moscow,Rio de Janeiro,Stadio Olimpico,2012,Olavi Gurd
782,Tatuo Bongki,Scofield,1992,Birmingham,Defender,FC Bayern Munich,Seattle,San Siro Stadium,2015,Atsufumi Comparetto
783,Dallan Yoshioki,Nuzman,1990,Casper,Midfield,FC Anzhi Makhachkala,Hamburg,King Power Stadium,2013,Robert Lally
784,Gesine Tilmann,Cagman,1996,Corpus,Defender,Toronto FC,Stuttgart,Camp Nou,2014,Kazuhiko Claybrook
785,Lundy Bharathi,Remp,1979,Elko,Forward,West Ham United F.C.,Solna,Balaidos,2011,Jiangling Micheaux
786,Daisy Ryotaro,Felciano,1976,Milan,Midfield,Borussia Monchengladbach,Cardiff,St James  Park,2012,Jeremy Cantu
787,Dallas Chongkye,Timkovsky,1988,Panama,Forward,Wolverhampton Wanderers Football Club,Glasgow,Emirates Stadium,2012,Zhouhui Rubio
788,Mejar Congxiao,Farrag,1994,Sao,Midfield,FC Anzhi Makhachkala,Hamburg,King Power Stadium,2013,Robert Lally
2031,Laird Capers,Aigrain,1990,Vail,Defender,S.C. Braga,Gelsenkirchen,Sporting Park,2013,Vagan Smallwood
789,Dagmar Marilde,Shackel,1985,Memphis,Goalkeeper,Royal Antwerp F.C.,London,Santiago Bernabeu Stadium,2011,Rashi Papadourakis
790,Petko Maogang,Usha,1986,Nice,Defender,FC Kaiserslautern,Munich,Stadio Olimpico,2012,Atsufumi Comparetto
791,Martii Mischa,Matyska,1978,Pasco,Midfield,S.C. Braga,Gelsenkirchen,Sporting Park,2014,Bernando Jesus
792,Sarangan Sreerama,Borgelt,1994,Baltimore,Midfield,FC Spartak Moscow,Istanbul,Jan Breydel Stadium,2011,Yki Villano
793,Pitro Melek,Poulin,1975,Buffalo,Midfield,P.a.o.k Fc,Brasilia,King Power Stadium,2012,Xiaomin Saoudi
794,Anke Ute,Weener,1995,Kiev,Defender,West Ham United F.C.,Solna,Balaidos,2013,Aiqun Levergood
795,Pierre Bella,Strohmeir,1986,Jackson,Midfield,The New Saints F.C.,Arlington,Parc des Princes,2014,Robbert Flach
796,Judy Brant,Prenel,1978,Worcester,Goalkeeper,VfL Wolfsburg,Solna,Allianz Arena Olympic Stadium Munich,2011,Atsufumi Comparetto
797,Mahmut Vyjayanti,Dedood,1984,Mobile,Goalkeeper,FK Partizan,Orlando,White Hart Lane,2012,Ravindra Grnarov
798,Guoren Igino,Hudelmaier,1979,Santiago,Defender,Seattle Sounders,Dortmund,Stadio San Paolo,2013,Nabih Rios
799,Anke Ute,Weener,1995,Kiev,Defender,Clube de Regatas do Flamengo,Rio de Janeiro,Stadio Olimpico,2013,Jeremy Cantu
800,Leelanivas Domenico,Stolovitch,1975,Nassau,Defender,P.a.o.k Fc,Brasilia,King Power Stadium,2012,Kazuhiko Claybrook
801,Cherri Toshiaki,Musselman,1984,Valdosta,Midfield,ACF Fiorentina,Hamburg,King Power Stadium,2014,Aiqun Levergood
802,Martii Mischa,Matyska,1978,Pasco,Midfield,S.C. Braga,Gelsenkirchen,Sporting Park,2014,Bernando Jesus
803,Odysseas Iara,Batz,1980,Athens,Midfield,A.C. Perugia Calcio,Solna,Donbass Arena,2013,Atsufumi Comparetto
804,Guardian Yongjoon,Pierro,1994,Chattanooga,Forward,P.a.o.k Fc,Brasilia,King Power Stadium,2012,Xiaomin Saoudi
805,Daisy Ryotaro,Felciano,1976,Milan,Midfield,Royal Antwerp F.C.,London,Santiago Bernabeu Stadium,2011,Rashi Papadourakis
806,Curd Jussi,Shindo,1998,Seattle,Forward,S.C. Braga,Gelsenkirchen,Sporting Park,2011,Anupam Oxenboll
807,Vishwani Konrad,Dingle,1983,Casper,Midfield,FC Spartak Moscow,Istanbul,Jan Breydel Stadium,2012,Olavi Gurd
808,Yasusi Seongyeol,Clemm,1997,Des,Defender,VfL Wolfsburg,Solna,Allianz Arena Olympic Stadium Munich,2011,Atsufumi Comparetto
809,Nedo Sudarshan,Waldherr,1985,Sarasota,Defender,A.C. Perugia Calcio,Solna,Donbass Arena,2014,Nabih Rios
810,Yooichi Hemant,Valette,1976,Amarillo,Forward,Montpellier HSC,Recife,Stade Velodrome,2013,Bernando Jesus
811,Surapol Yechezkel,Noltemeier,1984,Reno,Midfield,Valencia CF,London,Santiago Bernabeu Stadium,2011,Vagan Smallwood
812,Gesine Tilmann,Cagman,1996,Corpus,Defender,Toronto FC,Stuttgart,Camp Nou,2014,Kazuhiko Claybrook
813,Ludomir Franziska,Hinnebusch,1989,White,Defender,Royal Antwerp F.C.,London,Santiago Bernabeu Stadium,2011,Rashi Papadourakis
814,Laird Capers,Aigrain,1990,Vail,Defender,P.a.o.k Fc,Tokyo,BMO Field,2012,Xiaomin Saoudi
815,Dagmar Marilde,Shackel,1985,Memphis,Goalkeeper,Royal Antwerp F.C.,London,Santiago Bernabeu Stadium,2011,Rashi Papadourakis
816,Sava Lui,Schmerl,1977,Las,Defender,Borussia Monchengladbach,Cardiff,St James  Park,2012,Jeremy Cantu
817,Tayloe Erven,Gewali,1980,Dakar,Defender,Seattle Sounders,Dortmund,Stadio San Paolo,2013,Nabih Rios
818,Shigeo Jitender,Ruckebusch,1997,Gainesville,Defender,Toronto FC,Stuttgart,Camp Nou,2014,Kazuhiko Claybrook
819,Jami Waqar,Longobardi,1988,Aguascalientes,Midfield,The New Saints F.C.,Arlington,Parc des Princes,2012,Mayan Tautenhahn
820,Sahrah Kimon,Muluszynski,1991,Gainesville,Goalkeeper,Wolverhampton Wanderers Football Club,Glasgow,Emirates Stadium,2013,Sigenobu Bodagala
821,Toshiro Ryouichi,Nekvinda,1976,Great,Midfield,FC Midtjylland,Houston,Stade Louis II,2011,Mattan Edelhoff
822,Lorrin Kazuki,Gabalda,1991,Veracruz,Forward,Juventus,Salvador,BMO Field,2010,Masum Kasprzak
823,Gururaj Emilio,Mallorqui,1980,Santiago,Forward,Valencia CF,Montevideo,Constant Vanden Stock Stadium,2011,Veit Luks
824,Steinar Sathis,Brugnano,1987,Tokyo,Goalkeeper,S.C. Braga,Gelsenkirchen,Sporting Park,2011,Anupam Oxenboll
825,Dallan Yoshioki,Nuzman,1990,Casper,Midfield,FC Anzhi Makhachkala,Hamburg,King Power Stadium,2013,Robert Lally
826,Matthey Toshihisa,Bowhill,1983,Colorado,Midfield,ACF Fiorentina,Hamburg,King Power Stadium,2013,Amandio Klosowski
827,Ryoichi Ilan,Togni,1992,Vienna,Midfield,FC Spartak Moscow,Rio de Janeiro,Stadio Olimpico,2012,Olavi Gurd
828,Souri Bozena,Saloma,1996,Dothan,Goalkeeper,Wolverhampton Wanderers Football Club,Glasgow,Emirates Stadium,2012,Zhouhui Rubio
829,Wendie Benson,Brunk,1996,Ouagadougou,Defender,Aalborg Boldspilklub,London,Anfield,2014,Rosangela Ketz
830,Basem Noemie,Ashish,1997,Windhoek,Midfield,ACF Fiorentina,Hamburg,Estadio da Luz,2012,Atsuyuki Jayaprakash
831,Theordore Zhaoqian,Devroye,1991,Lexington,Defender,FC Spartak Moscow,Istanbul,Jan Breydel Stadium,2012,Olavi Gurd
832,Steinar Sathis,Brugnano,1987,Tokyo,Goalkeeper,S.C. Braga,Gelsenkirchen,Sporting Park,2011,Anupam Oxenboll
833,Gururaj Emilio,Mallorqui,1980,Santiago,Forward,Aik Solna,Mexico City,Vicente Calderon Stadium,2010,Shigetomo Abbas
834,Heiner Farahangiz,Weatherhead,1979,Louisville,Midfield,Royal Antwerp F.C.,Salvador,BMO Field,2011,Rashi Papadourakis
835,Oryal Tohru,Mikelsons,1997,Zihuatenejo,Forward,Boavista F.C.,Naples,Veltins-Arena,2015,Duckyoung Padhye
836,Sara Jea,Villalba,1977,Cancun,Forward,Lille OSC,Munich,Allianz Arena Olympic Stadium Munich,2010,Robert Lally
837,Yadran Mechthild,Rayne,1983,South,Defender,ACF Fiorentina,Hamburg,King Power Stadium,2014,Aiqun Levergood
838,Ernest Chiemi,Broch,1989,Birmingham,Defender,West Ham United F.C.,Solna,Balaidos,2013,Aiqun Levergood
839,Magne Chihping,Jungst,1990,Durban,Forward,FC Anzhi Makhachkala,Tokyo,BMO Field,2013,Robert Lally
840,Philip Sachio,Yoccoz,1975,Dayton,Goalkeeper,S.C. Braga,Gelsenkirchen,Sporting Park,2014,Bernando Jesus
841,Tatuo Bongki,Scofield,1992,Birmingham,Forward,S.C. Braga,Gelsenkirchen,Sporting Park,2013,Shyamala Gibbs
842,Afke Vlad,Tischendorf,1997,Worcester,Midfield,Borussia Monchengladbach,Hamburg,Estadio da Luz,2012,Jeremy Cantu
843,Errol Cetin,Fabrizio,1978,Shreveport,Midfield,P.a.o.k Fc,Tokyo,BMO Field,2012,Xiaomin Saoudi
844,Hideaki Sava,Burtschick,1988,Guatemala,Midfield,New York Red Bulls,Brasilia,San Siro Stadium,2011,Atsuyuki Jayaprakash
845,Yerucham Yunming,Berrebi,1990,Dallas,Defender,Wolverhampton Wanderers Football Club,Glasgow,Emirates Stadium,2012,Zhouhui Rubio
846,Izak Monte,Mattison,1992,Budapest,Midfield,FC Kaiserslautern,Munich,Stadio Olimpico,2012,Atsufumi Comparetto
847,Hing Seichi,Kehrer,1990,Conakry,Defender,FC Spartak Moscow,Istanbul,Jan Breydel Stadium,2012,Olavi Gurd
848,Kamal Carolyn,Kontos,1981,Green,Defender,P.a.o.k Fc,Tokyo,BMO Field,2012,Xiaomin Saoudi
849,Yibei Yousong,Berthiaume,1989,Prague,Forward,Juventus,Salvador,BMO Field,2015,Sigenobu Bodagala
850,Chitresh Harlan,Babb,1991,Copenhagen,Midfield,Forest Green Rovers F.C.,Solna,Allianz Arena Olympic Stadium Munich,2012,Srikanth Chimia
851,Baoling Takehiro,Astor,1977,Gulfport,Defender,Valencia CF,London,Santiago Bernabeu Stadium,2011,Vagan Smallwood
852,Salim Uday,Buttyan,1986,Beaumont,Defender,FK Partizan,Orlando,White Hart Lane,2012,Ravindra Grnarov
853,Pierangela Sudha,Tulley,1986,Greensboro,Goalkeeper,Wolverhampton Wanderers Football Club,Glasgow,Emirates Stadium,2012,Zhouhui Rubio
854,Yadran Mechthild,Rayne,1983,South,Forward,FC Anzhi Makhachkala,Tokyo,BMO Field,2013,Robert Lally
855,Oryal Tohru,Mikelsons,1997,Zihuatenejo,Forward,Boavista F.C.,Naples,Veltins-Arena,2015,Duckyoung Padhye
856,Ernest Chiemi,Broch,1989,Birmingham,Midfield,FC Kaiserslautern,Munich,Stadio Olimpico,2012,Atsufumi Comparetto
857,Osten Bian,Gotoda,1993,Wilmington,Midfield,Lille OSC,Munich,Allianz Arena Olympic Stadium Munich,2010,Robert Lally
858,Yasusi Seongyeol,Clemm,1997,Des,Defender,VfL Wolfsburg,Solna,Allianz Arena Olympic Stadium Munich,2011,Atsufumi Comparetto
859,Yooichi Hemant,Valette,1976,Amarillo,Goalkeeper,Boavista F.C.,Naples,Veltins-Arena,2014,Piera Faustini
860,Judy Brant,Prenel,1978,Worcester,Goalkeeper,VfL Wolfsburg,Solna,Allianz Arena Olympic Stadium Munich,2011,Atsufumi Comparetto
861,Sangjin Martin,Sezan,1985,Lisbon,Defender,Clube de Regatas do Flamengo,Rio de Janeiro,Stadio Olimpico,2013,Jeremy Cantu
862,Masahisa Prabhav,Blaschek,1980,Indianapolis,Midfield,FC Nordsjelland,Moscow,Estadio da Luz,2011,Cees Gunal
863,Renganathan Sihai,Godo,1989,Baton,Goalkeeper,The New Saints F.C.,Arlington,Parc des Princes,2012,Mayan Tautenhahn
864,Tatsuro Kamaljit,Specker,1994,Shreveport,Forward,S.C. Braga,Gelsenkirchen,Sporting Park,2014,Bernando Jesus
865,Hing Seichi,Kehrer,1990,Conakry,Defender,FC Spartak Moscow,Istanbul,Jan Breydel Stadium,2012,Olavi Gurd
866,Gernod Sowmitri,Harloff,1991,Monterrey,Forward,SV Werder Bremen,Barcelona,Boleyn Ground,2014,Sigenobu Bodagala
867,Devina Qutaibah,Schloegel,1997,Charleston,Goalkeeper,Boavista F.C.,Naples,Veltins-Arena,2014,Torsten Fedou
868,Surjatini Joohack,Spehner,1978,New,Midfield,Borussia Monchengladbach,Cardiff,St James  Park,2012,Jeremy Cantu
869,Gina Kenta,Besancenot,1976,Mobile,Forward,Lille OSC,Munich,Allianz Arena Olympic Stadium Munich,2010,Robert Lally
870,Catuscia Ivo,Miles,1984,Guaymas,Defender,The New Saints F.C.,Arlington,Parc des Princes,2012,Mayan Tautenhahn
871,Guilang Prasant,Clasen,1982,Fairbanks,Forward,New York Red Bulls,Brasilia,San Siro Stadium,2011,Atsuyuki Jayaprakash
872,Tatuo Bongki,Scofield,1992,Birmingham,Defender,FC Bayern Munich,Seattle,San Siro Stadium,2015,Atsufumi Comparetto
873,Peteris Yusuf,Maxson,1989,Tokyo,Midfield,ACF Fiorentina,Hamburg,Estadio da Luz,2012,Atsuyuki Jayaprakash
874,Afke Vlad,Tischendorf,1997,Worcester,Midfield,Borussia Monchengladbach,Hamburg,Estadio da Luz,2012,Jeremy Cantu
875,Mejar Congxiao,Farrag,1994,Sao,Midfield,Borussia Monchengladbach,Hamburg,Estadio da Luz,2012,Jeremy Cantu
876,Gina Kenta,Besancenot,1976,Mobile,Defender,Clube de Regatas do Flamengo,Rio de Janeiro,Stadio Olimpico,2013,Jeremy Cantu
877,Otthein Naftaly,Hogan,1976,Salvador,Midfield,FC Dinamo Bucuresti,Hamburg,Amsterdam Arena,2013,Mattan Edelhoff
878,Ichiang Hanan,Kappner,1993,Lyon,Goalkeeper,Seattle Sounders,Dortmund,Stadio San Paolo,2011,Aiqun Levergood
879,Chengdian Brijesh,Kavasseri,1979,Ontario,Midfield,ACF Fiorentina,Hamburg,King Power Stadium,2013,Suranjan Sakurai
880,Ernest Chiemi,Broch,1989,Birmingham,Midfield,FC Kaiserslautern,Munich,Stadio Olimpico,2012,Atsufumi Comparetto
881,Eleftherios Maxwell,Bollman,1986,Brussels,Defender,Valencia CF,Montevideo,Constant Vanden Stock Stadium,2011,Vagan Smallwood
882,Anandeep Marinus,Balboni,1994,Guangzhou,Midfield,Borussia Monchengladbach,Hamburg,Estadio da Luz,2012,Jeremy Cantu
883,Surapol Yechezkel,Noltemeier,1984,Reno,Midfield,Royal Antwerp F.C.,London,Santiago Bernabeu Stadium,2011,Rashi Papadourakis
884,Anke Ute,Weener,1995,Kiev,Defender,Clube de Regatas do Flamengo,Rio de Janeiro,Stadio Olimpico,2013,Jeremy Cantu
885,Gongzhu Youngmok,Kubicar,1979,Warsaw,Defender,S.C. Braga,Gelsenkirchen,Sporting Park,2013,Henryk Kochs
886,Graham Kukhamay,McCain,1989,Barcelona,Midfield,Seattle Sounders,Dortmund,Stadio San Paolo,2013,Nabih Rios
887,Osten Bian,Gotoda,1993,Wilmington,Midfield,Lille OSC,Munich,Allianz Arena Olympic Stadium Munich,2010,Robert Lally
888,Shigeo Jitender,Ruckebusch,1997,Gainesville,Defender,Toronto FC,Stuttgart,Camp Nou,2014,Kazuhiko Claybrook
889,Antonius Ard,Rikino,1975,Prague,Defender,Toronto FC,Stuttgart,Camp Nou,2014,Kazuhiko Claybrook
890,Magne Chihping,Jungst,1990,Durban,Midfield,Juventus,Salvador,BMO Field,2010,Masum Kasprzak
891,Sangjin Martin,Sezan,1985,Lisbon,Defender,FC Spartak Moscow,Rio de Janeiro,Stadio Olimpico,2012,Olavi Gurd
892,Lorrin Kazuki,Gabalda,1991,Veracruz,Midfield,Delfino Pescara 1936,Orlando,King Power Stadium,2012,Robbert Flach
893,Nasreddine Ratko,Lesperance,1995,Buffalo,Goalkeeper,New York Red Bulls,Brasilia,San Siro Stadium,2011,Atsuyuki Jayaprakash
894,Behcet Liu,Tomii,1991,Myrtle,Forward,FC Midtjylland,Houston,Stade Louis II,2011,Mattan Edelhoff
895,Yibei Yousong,Berthiaume,1989,Prague,Forward,Juventus,Salvador,BMO Field,2015,Sigenobu Bodagala
896,Velimir Solveig,Andraka,1988,Hartford,Defender,A.C. Perugia Calcio,Solna,Donbass Arena,2013,Masum Kasprzak
897,Nicol Kathrin,Badache,1994,Key,Forward,Lille OSC,Munich,Allianz Arena Olympic Stadium Munich,2010,Robert Lally
898,Elenora Noriyuki,Gawlick,1988,Orange,Goalkeeper,Aik Solna,Mexico City,Vicente Calderon Stadium,2010,Shigetomo Abbas
899,Dallas Chongkye,Timkovsky,1988,Panama,Defender,FK Partizan,Orlando,White Hart Lane,2013,Ryouji Dare
900,Kazumiti Pin,Ziavras,1980,Orange,Defender,New York Red Bulls,Brasilia,San Siro Stadium,2011,Atsuyuki Jayaprakash
901,Chengdian Brijesh,Kavasseri,1979,Ontario,Midfield,ACF Fiorentina,Hamburg,King Power Stadium,2013,Suranjan Sakurai
902,Ayal Waeil,Haining,1981,Wichita,Goalkeeper,ACF Fiorentina,Hamburg,King Power Stadium,2014,Aiqun Levergood
903,Klaus Nicu,Strevell,1979,Roanoke,Forward,Valencia CF,Montevideo,Constant Vanden Stock Stadium,2011,Vagan Smallwood
904,Xiaola Jinhwan,Steffan,1977,Chihuahua,Midfield,Valencia CF,Montevideo,Constant Vanden Stock Stadium,2011,Vagan Smallwood
905,Cherri Toshiaki,Musselman,1984,Valdosta,Midfield,ACF Fiorentina,Hamburg,King Power Stadium,2014,Aiqun Levergood
906,Abdalla Susannne,Hoare,1982,Gulfport,Midfield,Valencia CF,Montevideo,Constant Vanden Stock Stadium,2011,Veit Luks
907,Elham Roy,Kupper,1997,Toledo,Midfield,FC Bayern Munich,Seattle,San Siro Stadium,2015,Atsufumi Comparetto
908,Lorraine Hussein,Sokolin,1993,Idaho,Defender,Royal Antwerp F.C.,London,Santiago Bernabeu Stadium,2011,Rashi Papadourakis
909,Yoonjoon Eila,Yannakoudakis,1996,Shannon,Midfield,New York Red Bulls,Solna,Allianz Arena Olympic Stadium Munich,2011,Atsuyuki Jayaprakash
910,Chengdian Brijesh,Kavasseri,1979,Ontario,Midfield,ACF Fiorentina,Hamburg,King Power Stadium,2013,Suranjan Sakurai
911,Clay Pawel,Kadar,1991,Sarasota,Defender,Royal Antwerp F.C.,Salvador,BMO Field,2011,Rashi Papadourakis
912,Cherri Toshiaki,Musselman,1984,Valdosta,Midfield,New York Red Bulls,Solna,Allianz Arena Olympic Stadium Munich,2011,Atsuyuki Jayaprakash
913,Brad Zhaofang,Dighe,1977,Frankfurt,Defender,P.a.o.k Fc,Tokyo,BMO Field,2012,Xiaomin Saoudi
914,Yili Junjie,Walrath,1988,Beaumont,Goalkeeper,Wolverhampton Wanderers Football Club,Glasgow,Emirates Stadium,2012,Zhouhui Rubio
915,Bhuwan Percy,Bouabdallah,1984,Guangzhou,Forward,VfL Wolfsburg,Solna,Allianz Arena Olympic Stadium Munich,2011,Atsufumi Comparetto
916,Zoubida Roch,Capps,1989,Toulouse,Goalkeeper,Delfino Pescara 1936,Orlando,King Power Stadium,2012,Robbert Flach
917,Rastislav Stevo,Bellosta,1976,Cozumel,Midfield,The New Saints F.C.,Arlington,Parc des Princes,2012,Mayan Tautenhahn
918,Takenobu Leighton,Derby,1989,Savannah,Forward,Valencia CF,Munich,Stadio Olimpico,2011,Vagan Smallwood
919,Dallas Chongkye,Timkovsky,1988,Panama,Forward,Wolverhampton Wanderers Football Club,Glasgow,Emirates Stadium,2012,Zhouhui Rubio
920,Renganathan Sihai,Godo,1989,Baton,Defender,Valencia CF,Stuttgart,Camp Nou,2011,Veit Luks
921,Dallas Chongkye,Timkovsky,1988,Panama,Forward,Juventus,Salvador,BMO Field,2012,IlYoung Giese
922,Ryoichi Ilan,Togni,1992,Vienna,Forward,FK Partizan,Orlando,White Hart Lane,2013,Ryouji Dare
923,Renganathan Sihai,Godo,1989,Baton,Defender,Valencia CF,Stuttgart,Camp Nou,2011,Veit Luks
924,Surapol Yechezkel,Noltemeier,1984,Reno,Midfield,West Ham United F.C.,Solna,Balaidos,2013,Aiqun Levergood
925,Huajun Haijo,Zajak,1982,Conakry,Midfield,The New Saints F.C.,Arlington,Parc des Princes,2014,Robbert Flach
926,Anya Itaru,Ghezal,1977,Orlando,Defender,VfL Wolfsburg,Berlin,Westfalenstadion,2011,Atsufumi Comparetto
927,Dagmar Marilde,Shackel,1985,Memphis,Goalkeeper,Royal Antwerp F.C.,London,Santiago Bernabeu Stadium,2011,Rashi Papadourakis
928,Salim Uday,Buttyan,1986,Beaumont,Defender,FK Partizan,Orlando,White Hart Lane,2012,Ravindra Grnarov
929,Ichiang Hanan,Kappner,1993,Lyon,Goalkeeper,Seattle Sounders,Dortmund,Stadio San Paolo,2011,Aiqun Levergood
930,Judy Brant,Prenel,1978,Worcester,Goalkeeper,FC Spartak Moscow,Istanbul,Jan Breydel Stadium,2011,Yki Villano
931,Nasreddine Dongseung,Zallocco,1995,Leon,Midfield,Valencia CF,Stuttgart,Camp Nou,2011,Veit Luks
932,Oryal Tohru,Mikelsons,1997,Zihuatenejo,Forward,Boavista F.C.,Naples,Veltins-Arena,2015,Duckyoung Padhye
933,Nili Reese,Kopanas,1975,Augusta,Midfield,Clube de Regatas do Flamengo,Rio de Janeiro,Stadio Olimpico,2011,Xiaolei Ronchette
934,Guardian Yongjoon,Pierro,1994,Chattanooga,Midfield,Aik Solna,Mexico City,Vicente Calderon Stadium,2010,Shigetomo Abbas
935,Roger Kazi,Kraetzl,1990,Macon,Midfield,Sport Club Internacional,Montreal,King Power Stadium,2011,Berardo Gerber
936,Sylvie Nathalie,Yang,1983,Long,Goalkeeper,West Ham United F.C.,Solna,Balaidos,2011,Jiangling Micheaux
937,Farshid Zubin,Seppanen,1983,Washington,Defender,Juventus,Salvador,BMO Field,2015,Sigenobu Bodagala
938,Brad Zhaofang,Dighe,1977,Frankfurt,Defender,P.a.o.k Fc,Tokyo,BMO Field,2012,Xiaomin Saoudi
939,Yoonjoon Eila,Yannakoudakis,1996,Shannon,Midfield,New York Red Bulls,Solna,Allianz Arena Olympic Stadium Munich,2011,Atsuyuki Jayaprakash
940,Caryl Moninder,Obermaier,1984,Warsaw,Forward,VfL Wolfsburg,Solna,Allianz Arena Olympic Stadium Munich,2011,Atsufumi Comparetto
941,Farshid Zubin,Seppanen,1983,Washington,Defender,Juventus,Salvador,BMO Field,2015,Sigenobu Bodagala
942,Giuliano Nobuhiko,Roeseler,1994,St,Forward,P.a.o.k Fc,Brasilia,King Power Stadium,2012,Kazuhiko Claybrook
943,Magne Chihping,Jungst,1990,Durban,Midfield,Juventus,Salvador,BMO Field,2010,Masum Kasprzak
944,Giuliano Nobuhiko,Roeseler,1994,St,Forward,P.a.o.k Fc,Brasilia,King Power Stadium,2012,Kazuhiko Claybrook
945,Gernod Sowmitri,Harloff,1991,Monterrey,Forward,Tianjin Teda F.C.,Cardiff,Estadio da Luz,2011,Ryouji Dare
946,Huajun Haijo,Zajak,1982,Conakry,Forward,Juventus,Salvador,BMO Field,2015,Sigenobu Bodagala
947,Rohan Sander,Rezende,1995,Providenciales,Forward,FC Spartak Moscow,Rio de Janeiro,Stadio Olimpico,2012,Olavi Gurd
948,Yili Junjie,Walrath,1988,Beaumont,Midfield,The New Saints F.C.,Arlington,Parc des Princes,2014,Robbert Flach
949,Pierangela Sudha,Tulley,1986,Greensboro,Goalkeeper,Wolverhampton Wanderers Football Club,Glasgow,Emirates Stadium,2012,Zhouhui Rubio
950,Lui Sherry,Osterloh,1983,Elko,Goalkeeper,S.C. Braga,Gelsenkirchen,Sporting Park,2014,Bernando Jesus
951,Surjatini Joohack,Spehner,1978,New,Midfield,Borussia Monchengladbach,Cardiff,St James  Park,2012,Jeremy Cantu
952,Seungwang Haym,Scanlon,1984,Munich,Defender,P.a.o.k Fc,Brasilia,King Power Stadium,2012,Sreenivas Wohr
953,Gernod Sowmitri,Harloff,1991,Monterrey,Forward,Tianjin Teda F.C.,Cardiff,Estadio da Luz,2011,Ryouji Dare
954,Jianlin Guanghui,Rudstrom,1979,Des,Defender,S.C. Braga,Gelsenkirchen,Sporting Park,2011,Anupam Oxenboll
955,Bhuwan Percy,Bouabdallah,1984,Guangzhou,Forward,VfL Wolfsburg,Solna,Allianz Arena Olympic Stadium Munich,2011,Atsufumi Comparetto
956,Yibei Yousong,Berthiaume,1989,Prague,Forward,Juventus,Salvador,BMO Field,2015,Sigenobu Bodagala
957,Brad Zhaofang,Dighe,1977,Frankfurt,Defender,P.a.o.k Fc,Brasilia,King Power Stadium,2012,Xiaomin Saoudi
958,Boijdar Michal,Yntema,1982,Beaumont,Midfield,Clube de Regatas do Flamengo,Rio de Janeiro,Stadio Olimpico,2013,Jeremy Cantu
